name,lat,lon,address,postcode,risk
METRO,43.747127,-79.38556,291 YORK MILLS RD,M2L 1L3,1
METRO,43.658381,-79.376442,89 GOULD ST,M5B 2R1,1
METRO,43.711242,-79.378653,656 EGLINTON AVE E,M4P 1P1,2
METRO,43.743466,-79.216242,3221 EGLINTON AVE E,M1J 2H7,1
METRO,43.64917,-79.372284,80 FRONT ST E,M5E 1T4,1
METRO,43.770926,-79.281624,16 WILLIAM KITCHEN RD,M1P 5B7,1
METRO #37,43.690642,-79.288699,3003 DANFORTH AVE,M4C 1M9,1
METRO (STORE #442),43.654934,-79.41962,735 COLLEGE ST,M6G 1C5,2
MICHAEL'S NO FRILLS,43.823712,-79.29883,681 SILVER STAR BLVD,M1V 5N1,0
MIKE & LORI'S NO FRILLS,43.798229,-79.14181,70 ISLAND RD,M1C 2P5,1
MIKE'S FISH MARKET,43.76923,-79.388372,2901 BAYVIEW AVE,M2K 1E6,1
MIRCH MASALA GROCERIES,43.767807,-79.22897,860 MARKHAM RD,M1H 2Y2,0
MR GUNA PRODUCE,43.809266,-79.26368,1001 SANDHURST CRCL,M1V 1Z6,0
MR. CONVENIENCE,43.670515,-79.453444,1863 DAVENPORT RD,M6N 1B9,0
McDowell's Valu-Mart,43.703582,-79.374667,1500 BAYVIEW AVE,M4G 3B4,2
NATIONAL SUPERMARKET INC.,43.756701,-79.589317,2700 KIPLING AVE,M9V 4P2,2
NEW BLOOR GARDEN SUPERMARKET,43.660435,-79.43319,1066 BLOOR ST W,M6H 1M6,0
NEW KAJETIA MARKET,43.748475,-79.517825,41 EDDYSTONE AVE,M3N 1H5,1
NEW SPICELAND SUPER MARKET,43.795655,-79.231413,5790 SHEPPARD AVE E,M1B 5J6,2
NEW SPICELAND SUPERMARKET,43.836134,-79.250376,3351 MARKHAM RD,M1X 0A6,1
NICHOLSON'S NO FRILLS,43.651108,-79.474781,2187 BLOOR ST W,M6S 1N2,1
NICK'S NO FRILLS,43.783939,-79.292253,3850 SHEPPARD AVE E,M1T 3L4,0
NO FRILLS,43.794388,-79.353961,3555 DON MILLS RD,M2H 3N3,0
NO FRILLS,43.636982,-79.43657,1435 KING ST W,M6K 1H9,1
NO FRILLS,43.650684,-79.36655,200 FRONT ST E,,0
NO FRILLS,43.70834,-79.296128,1150 VICTORIA PARK AVE,M4B 2K4,1
NO FRILLS,43.668303,-79.342753,449 CARLAW AVE,M4K 3H9,0
NORTH YORK DANFORTH FOOD MARKET,43.755389,-79.488045,3701 KEELE ST,M3J 1N1,1
NORTOWN FOODS,43.700881,-79.427175,890 EGLINTON AVE W,M6C 2B6,2
New Ocean Supermarket,43.813532,-79.238807,5635 FINCH AVE E,M1B 5K9,0
O NOSSO TALHO,43.649582,-79.42645,1326 DUNDAS ST W,M6J 1Y1,2
OM INDIAN FOOD CENTRE,43.820734,-79.261016,3300 MCNICOLL AVE,M1V 5J6,1
ONTARIO FOOD,43.601242,-79.50262,2863 LAKE SHORE BLVD W,M8V 1H8,0
ORIENTAL FOOD MART,43.824853,-79.277538,250 ALTON TOWERS CRCL,M1V 3Z4,2
ORIENTAL HARVEST,43.653603,-79.39857,310 SPADINA AVE,M5T 2E8,2
OYINGBO AFRICAN SUPERMARKET,43.698191,-79.502879,1550 JANE ST,M9N 2R5,0
P.A.T. CENTRAL,43.663925,-79.41639,675 BLOOR ST W,M6G 1L3,2
P.A.T. ORIENTAL FOOD,43.74454,-79.296644,1973 LAWRENCE AVE E,M1R 2Z2,1
PAK MAIN HALAL MEAT,43.68857,-79.300968,2592 DANFORTH AVE,M4C 1L3,1
PAPE FOODLAND,43.678601,-79.345607,623 DANFORTH AVE,M4K 1R2,1
PAT'S NO FRILLS,43.737734,-79.433275,270 WILSON AVE,M3H 1S6,0
